CASEID	Q1	Q3B	Q4	Q6_COMP	Q66A	Q66B	Q66C	Q66D	Q66E	Q66F	Q66G	Q66H	Q66I	Q66J	Q66K	Q68A	Q68B	Q68C	Q68D	Q68E	Q68F	Q68G	Q68H	Q68I	Q68J	Q68K
5222	1	11	6	7	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6179	1	11	6	3	5	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7689	1	12	6	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8333	1	10	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12618	1	11	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1538	2	11	6	2	3	2	1	4	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1
9117	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5547	2	11	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1446	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2461	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3241	1	11	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
4912	1	11	6	2	5	1	1	5	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5943	1	12	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6497	1	11	6	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	2	2	2
7048	1	12	6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9387	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10659	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
61	2	11	6	6	2	1	1	3	2	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1
2659	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6160	2	12	6	NA	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5
6503	2	11	6	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7941	2	12	6	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8437	2	10	6	2	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9121	2	11	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6641	1	12	6	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7041	1	14	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8046	1	12	6	NA	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
3711	2	12	6	NA	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9366	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7123	1	12	6	NA	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1
1197	1	12	6	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1487	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1651	1	12	6	2	5	4	5	5	4	2	5	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
6578	1	11	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7031	1	12	6	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11898	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
315	2	11	6	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4378	2	11	6	2	5	4	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
12635	2	12	6	6	3	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2564	1	12	6	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
131	1	12	6	4	4	2	3	3	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8185	2	11	6	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
9098	1	12	6	2	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1
3139	2	11	6	2	1	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
5683	2	12	6	2	4	5	3	5	1	4	2	2	3	3	3	1	2	2	1	1	1	1	1	1	1	1
446	1	11	6	2	1	1	3	2	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1
4398	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9944	2	11	6	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
12343	2	11	6	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12542	1	11	6	2	1	2	3	4	5	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
270	1	11	6	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
1338	1	11	6	2	1	2	5	5	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1798	1	11	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2110	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3367	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6832	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8410	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9272	1	11	6	NA	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9768	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10211	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10329	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10403	1	11	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12427	1	11	6	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
958	2	11	6	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3474	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6165	2	10	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7437	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7640	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7809	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
9065	2	11	6	2	4	2	1	3	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
9304	2	11	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9769	2	11	6	2	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9819	2	11	6	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9915	2	11	6	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12038	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12149	2	11	6	6	3	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2058	1	13	6	2	4	1	4	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1
8996	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10574	2	11	6	7	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
171	1	12	6	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
550	1	11	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
595	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1106	1	11	6	7	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1173	1	11	6	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2741	1	11	6	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5429	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6327	1	13	6	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
6848	1	12	6	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7361	1	11	6	2	4	3	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9258	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12177	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2966	2	11	6	7	5	4	1	5	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
4024	2	12	6	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5994	2	12	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6988	2	11	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7201	2	11	6	6	4	4	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7277	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7337	2	12	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8691	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8865	2	11	6	2	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
11785	2	11	6	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4058	2	11	6	NA	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11159	2	12	6	7	2	2	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1
1758	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11143	2	13	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5086	1	13	6	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7845	1	11	6	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10638	1	11	6	2	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
3891	2	11	6	1	1	2	3	1	2	3	4	5	4	2	1	2	2	2	2	2	2	2	5	5	5	3
677	2	11	6	4	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
1755	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
4530	2	11	6	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7243	1	11	6	2	5	1	5	5	1	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
266	1	12	6	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
377	1	13	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
985	1	11	6	2	5	2	5	5	2	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2620	1	10	6	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6273	1	12	6	2	2	2	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8404	1	13	6	2	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
8954	1	13	6	2	5	5	5	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	1	1	1
2515	2	12	6	NA	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1
3570	2	11	6	6	3	4	1	2	1	2	3	1	1	1	1	5	5	1	1	1	1	1	1	1	1	1
12262	2	11	6	2	3	2	1	2	2	2	4	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1
12515	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3874	1	12	6	6	5	1	2	2	5	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5056	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5459	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4178	2	12	6	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5458	2	13	6	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
7730	2	12	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8423	2	12	6	7	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2171	1	13	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7721	1	11	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8658	2	11	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8378	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1951	2	11	6	2	1	1	1	1	1	1	4	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
2909	2	12	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3395	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
304	2	12	6	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
750	1	11	6	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5807	1	12	6	6	2	3	1	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1
6556	1	12	6	2	3	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
9576	1	11	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11013	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
310	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3331	2	11	6	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5478	2	12	6	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6117	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12237	2	12	6	6	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
6022	1	11	6	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
64	1	11	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1405	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3742	1	12	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6795	1	11	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8882	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1914	2	11	6	6	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
3736	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5111	2	11	6	2	2	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
6213	2	11	6	2	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
11398	2	11	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12411	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5452	1	11	6	2	1	1	1	3	1	1	5	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1
403	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11557	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12052	2	11	6	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1506	1	13	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5858	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1
1340	2	11	6	2	5	4	1	5	1	1	1	2	4	4	4	1	1	1	1	1	1	1	1	1	1	1
3131	2	11	6	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3363	2	12	6	2	2	1	1	5	2	2	2	1	1	2	1	5	5	1	2	3	4	3	4	3	5	3
9834	2	12	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9958	1	11	6	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
153	1	11	6	1	4	4	2	3	2	1	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1
480	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3373	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6256	1	11	6	7	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1
10609	1	11	6	2	2	4	1	2	1	1	3	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1
12514	1	11	6	6	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
610	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1544	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1
6222	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7606	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9982	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5868	1	11	6	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10512	1	11	6	2	2	1	2	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
11813	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5902	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10410	2	12	6	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
597	1	13	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1621	1	11	6	2	4	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
2435	1	11	6	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
4054	1	11	6	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6523	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11342	1	12	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
438	2	11	6	2	2	1	1	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3857	2	11	6	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9589	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10801	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5247	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
8210	2	11	6	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
456	2	11	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7408	2	11	6	1	1	4	1	4	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
10310	1	11	6	2	3	5	2	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1269	2	11	6	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6362	2	11	6	6	2	4	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9531	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11639	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8855	2	11	6	2	1	1	1	1	1	1	1	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1
2306	1	11	6	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
763	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3870	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
355	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1737	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1743	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4376	1	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6251	1	11	6	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
7969	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8895	1	11	6	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1050	2	12	6	2	2	2	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1881	2	11	6	2	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2863	2	12	6	6	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3457	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4451	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4744	2	11	6	6	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
5085	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5653	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7605	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9141	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11200	2	11	6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11221	2	11	6	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
12004	2	11	6	2	2	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	1	2
2747	2	12	6	1	2	1	2	5	5	1	5	1	2	1	2	3	2	2	2	2	1	1	1	1	1	1
5511	2	11	6	1	5	2	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
7986	1	13	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10875	1	13	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3596	2	12	6	1	5	4	1	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6752	1	11	6	6	5	4	4	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
9249	1	12	6	1	5	2	5	1	1	1	1	1	1	1	1	5	1	5	1	1	1	1	1	1	1	1
12550	1	12	6	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
136	2	11	6	3	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4897	2	11	6	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
5156	2	13	6	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6989	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7363	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2
10239	2	11	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10333	2	12	6	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8516	1	13	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11008	1	11	6	2	5	5	4	5	1	1	4	1	1	1	1	5	5	4	5	1	1	4	1	1	1	1
10053	2	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2178	1	12	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10566	1	12	6	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
